setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,ident_accuracy,gen_accuracy
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,0.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,95.0,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,97.5,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,97.5,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,10.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,20.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,50.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,60.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,62.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,0.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,95.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,97.5,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,2.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,10.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,17.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,47.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,60.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,60.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,0.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,95.0,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,97.5,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,2.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,10.0
