setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
hard_s40,vit_base_patch16_224,cls,layer_0,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,2.5,2.23606797749979,2.5,0.7905694150420949
hard_s40,vit_base_patch16_224,cls,layer_1,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,3.5,2.0,2.25,0.9354143466934853
hard_s40,vit_base_patch16_224,cls,layer_2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,3.5,2.0,2.0,1.0
hard_s40,vit_base_patch16_224,cls,layer_3,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,4.5,2.449489742783178,1.75,1.2747548783981961
hard_s40,vit_base_patch16_224,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,10.5,2.9154759474226504,2.5,1.5811388300841898
hard_s40,vit_base_patch16_224,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,41.0,3.391164991562634,5.25,2.8939592256975564
hard_s40,vit_base_patch16_224,cls,layer_6,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,55.0,8.803408430829505,9.0,2.5495097567963922
hard_s40,vit_base_patch16_224,cls,layer_7,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,41.5,6.819090848492928,9.0,1.4577379737113252
hard_s40,vit_base_patch16_224,cls,layer_8,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,37.5,6.519202405202649,10.5,1.8708286933869713
hard_s40,vit_base_patch16_224,cls,layer_9,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,43.0,4.0,18.75,1.7677669529663689
hard_s40,vit_base_patch16_224,cls,layer_10,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,70.5,2.449489742783178,45.0,2.5
hard_s40,vit_base_patch16_224,cls,layer_11,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,80.5,6.59545297913646,45.0,2.23606797749979
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,3.5,2.5495097567963922,2.25,0.9354143466934853
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,4.5,2.449489742783178,2.25,0.9354143466934853
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,8.0,2.449489742783178,2.5,1.118033988749895
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,13.0,5.0990195135927845,2.75,1.224744871391589
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,21.5,4.062019202317981,3.75,2.091650066335189
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,23.0,5.5677643628300215,3.75,1.7677669529663689
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,17.5,8.803408430829505,5.0,1.118033988749895
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,37.5,5.244044240850758,5.0,2.622022120425379
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,32.5,6.892024376045111,4.75,3.48209706929603
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,29.0,8.455767262643882,7.75,2.8939592256975564
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,28.5,7.3484692283495345,21.0,5.326818938165629
hard_s40,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5,47.5,5.000000000000002,54.0,5.667892024377315
