setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,ident_accuracy,gen_accuracy
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,6.25,0.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,10.0,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,11.25,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,38.75,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,47.5,7.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,66.25,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,50.0,7.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,63.74999999999999,12.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,80.0,22.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,85.0,50.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,90.0,57.49999999999999
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,88.75,60.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5.0,0.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,8.75,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,11.25,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,38.75,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,47.5,7.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,67.5,5.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,51.24999999999999,7.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,65.0,10.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,80.0,22.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,86.25,47.5
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,91.25,60.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,4,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,87.5,60.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,6,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,7.5,0.0
hard_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,6,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,8.75,5.0
