setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,5,2.5,2.23606797749979,2.5,0.7905694150420949
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,5,3.5,2.0,2.25,0.9354143466934853
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,5,3.5,2.0,2.0,1.0
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,5,6.5,3.0,1.75,1.2747548783981961
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,5,17.5,3.1622776601683795,2.5,1.5811388300841898
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,5,53.0,6.403124237432849,5.25,2.8939592256975564
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,5,72.0,8.124038404635963,9.0,2.5495097567963922
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,5,52.5,9.082951062292473,9.0,1.4577379737113252
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,5,46.0,8.602325267042628,10.5,1.8708286933869713
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,5,48.5,7.000000000000001,18.75,1.7677669529663689
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,5,71.5,2.5495097567963922,45.0,2.5
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,5,82.5,5.0,45.0,2.23606797749979
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,5,3.5,2.5495097567963922,2.25,0.9354143466934853
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,5,4.5,2.449489742783178,2.25,0.9354143466934853
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,5,11.0,4.06201920231798,2.5,1.118033988749895
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,5,25.5,3.3166247903554003,2.75,1.224744871391589
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,5,70.5,9.0,3.75,2.091650066335189
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,5,92.5,3.1622776601683795,3.75,1.7677669529663689
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,5,98.0,1.8708286933869707,5.0,1.118033988749895
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,5,92.0,2.9154759474226504,5.0,2.622022120425379
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,5,72.0,7.968688725254614,4.75,3.48209706929603
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,5,44.0,9.695359714832655,7.75,2.8939592256975564
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,5,38.0,8.276472678623424,21.0,5.326818938165629
occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,5,57.5,6.123724356957945,54.0,5.667892024377315
