setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,10.0,3.1622776601683795,4.75,1.8371173070873836
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,18.5,7.176350047203662,6.0,2.29128784747792
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,28.0,9.40744386111339,6.75,3.122498999199199
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,75.5,11.113055385446433,9.5,6.254998001598402
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,97.0,2.449489742783178,11.25,3.952847075210474
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,100.0,0.0,13.75,3.872983346207417
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,99.5,1.0,14.75,5.326818938165629
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,99.0,1.224744871391589,19.25,5.099019513592783
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,97.5,1.5811388300841898,31.5,5.5
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,98.0,1.0,44.25,4.444097208657792
occ50_dnoise001_s40,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,40,80,0.01,occlusion,5.0,2,0.5,768,5,99.0,1.224744871391589,56.0,4.962358310319803
