setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_s40,vit_base_patch16_224,cls,layer_0,40,80,0.0,occlusion,5.0,2,0.5,5,6.0,2.0,5.5,1.5
occ50_s40,vit_base_patch16_224,cls,layer_1,40,80,0.0,occlusion,5.0,2,0.5,5,16.0,3.7416573867739413,8.25,3.2210246816812815
occ50_s40,vit_base_patch16_224,cls,layer_2,40,80,0.0,occlusion,5.0,2,0.5,5,29.5,7.14142842854285,9.25,3.6742346141747677
occ50_s40,vit_base_patch16_224,cls,layer_3,40,80,0.0,occlusion,5.0,2,0.5,5,85.5,6.782329983125268,11.5,5.989574275355469
occ50_s40,vit_base_patch16_224,cls,layer_4,40,80,0.0,occlusion,5.0,2,0.5,5,98.5,2.0,12.25,4.962358310319802
occ50_s40,vit_base_patch16_224,cls,layer_5,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,12.25,5.267826876426369
occ50_s40,vit_base_patch16_224,cls,layer_6,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,14.5,4.373213921133975
occ50_s40,vit_base_patch16_224,cls,layer_7,40,80,0.0,occlusion,5.0,2,0.5,5,95.5,1.8708286933869707,18.5,3.4820970692960294
occ50_s40,vit_base_patch16_224,cls,layer_8,40,80,0.0,occlusion,5.0,2,0.5,5,98.0,1.8708286933869707,30.75,2.8062430400804566
occ50_s40,vit_base_patch16_224,cls,layer_9,40,80,0.0,occlusion,5.0,2,0.5,5,96.0,2.5495097567963922,43.0,3.409545424246464
occ50_s40,vit_base_patch16_224,cls,layer_10,40,80,0.0,occlusion,5.0,2,0.5,5,79.5,2.9154759474226504,51.0,5.208166663999915
occ50_s40,vit_base_patch16_224,cls,layer_11,40,80,0.0,occlusion,5.0,2,0.5,5,90.5,3.3166247903554,52.75,3.1024184114977142
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.0,occlusion,5.0,2,0.5,5,5.0,1.5811388300841898,7.25,2.5495097567963922
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.0,occlusion,5.0,2,0.5,5,22.5,3.872983346207417,8.0,2.9154759474226504
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.0,occlusion,5.0,2,0.5,5,74.0,7.176350047203662,10.25,4.834769901453429
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.0,occlusion,5.0,2,0.5,5,97.0,2.9154759474226504,9.25,4.0
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,8.5,5.1478150704935
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,7.25,2.1505813167606567
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,5.0,2.23606797749979
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,7.5,1.5811388300841898
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.0,occlusion,5.0,2,0.5,5,97.0,1.0,9.5,4.9749371855331
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.0,occlusion,5.0,2,0.5,5,76.0,9.9498743710662,14.5,4.0
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.0,occlusion,5.0,2,0.5,5,49.0,5.612486080160914,28.0,4.650268809434569
occ50_s40,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.0,occlusion,5.0,2,0.5,5,56.5,5.612486080160911,56.75,5.159941860137573
