setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,ident_accuracy,gen_accuracy
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_0,40,80,0.0,occlusion,5.0,2,0.5,5.0,6.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_1,40,80,0.0,occlusion,5.0,2,0.5,15.0,7.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_2,40,80,0.0,occlusion,5.0,2,0.5,27.500000000000004,10.0
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_3,40,80,0.0,occlusion,5.0,2,0.5,72.5,22.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_4,40,80,0.0,occlusion,5.0,2,0.5,97.5,21.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_5,40,80,0.0,occlusion,5.0,2,0.5,100.0,22.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_6,40,80,0.0,occlusion,5.0,2,0.5,100.0,22.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_7,40,80,0.0,occlusion,5.0,2,0.5,97.5,22.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_8,40,80,0.0,occlusion,5.0,2,0.5,97.5,33.75
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_9,40,80,0.0,occlusion,5.0,2,0.5,92.5,46.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_10,40,80,0.0,occlusion,5.0,2,0.5,77.5,50.0
occ50_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_11,40,80,0.0,occlusion,5.0,2,0.5,85.0,52.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.0,occlusion,5.0,2,0.5,7.5,11.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.0,occlusion,5.0,2,0.5,25.0,7.5
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.0,occlusion,5.0,2,0.5,60.0,18.75
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.0,occlusion,5.0,2,0.5,92.5,16.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.0,occlusion,5.0,2,0.5,100.0,18.75
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.0,occlusion,5.0,2,0.5,100.0,11.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.0,occlusion,5.0,2,0.5,100.0,6.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.0,occlusion,5.0,2,0.5,100.0,10.0
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.0,occlusion,5.0,2,0.5,97.5,18.75
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.0,occlusion,5.0,2,0.5,92.5,21.25
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.0,occlusion,5.0,2,0.5,52.5,27.500000000000004
occ50_s40,stored_40_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.0,occlusion,5.0,2,0.5,67.5,56.25
occ50_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_0,40,80,0.0,occlusion,5.0,2,0.5,7.5,3.75
occ50_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_1,40,80,0.0,occlusion,5.0,2,0.5,20.0,11.25
