setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_s80,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,7.25,2.1505813167606567,2.5,2.23606797749979
occ50_s80,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,9.0,1.4577379737113252,4.5,2.449489742783178
occ50_s80,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,14.0,2.5495097567963922,4.0,3.391164991562634
occ50_s80,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,63.5,6.633249580710799,6.5,2.0
occ50_s80,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,93.25,1.695582495781317,10.5,2.9154759474226504
occ50_s80,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,99.5,0.6123724356957945,9.0,4.636809247747852
occ50_s80,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.0,1.0,12.5,3.1622776601683795
occ50_s80,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.75,0.7905694150420949,17.0,4.301162633521313
occ50_s80,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,96.25,0.7905694150420949,26.5,4.898979485566356
occ50_s80,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,94.75,1.224744871391589,45.5,3.6742346141747673
occ50_s80,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,95.0,1.118033988749895,62.0,5.099019513592783
occ50_s80,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,91.25,1.3693063937629153,62.5,4.743416490252572
occ50_s80,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,7.5,2.3717082451262845,2.5,2.23606797749979
occ50_s80,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,10.25,1.4577379737113252,4.5,2.449489742783178
occ50_s80,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,15.0,2.850438562747845,4.5,2.9154759474226504
occ50_s80,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,62.5,5.755432216610671,7.0,1.8708286933869707
occ50_s80,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,93.0,2.179449471770337,10.0,3.1622776601683795
occ50_s80,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,99.5,0.6123724356957945,8.5,4.898979485566356
occ50_s80,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.5,0.5,10.5,2.9154759474226504
occ50_s80,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,5,98.5,0.9354143466934853,17.0,4.301162633521313
