setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
easy_s80,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,2.5,2.23606797749979,0.999746595933982,9.0910010062907e-06,0.00025340406601792576,9.09100100633535e-06,0.00018126854512559245,1.8640671762159792e-05,0.00018126854512559245,1.8640671762159792e-05
easy_s80,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,4.5,2.449489742783178,0.9978343231296316,3.586202702383639e-05,0.002165676870368395,3.5862027023842924e-05,0.0010464648878376302,3.600182018320578e-05,0.0010464648878376302,3.60018201832058e-05
easy_s80,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,99.0,0.5,4.0,3.391164991562634,0.9971017039320925,2.8553943072840695e-05,0.002898296067907495,2.855394307283087e-05,0.0012060967689545173,5.2762363799941704e-05,0.0012060967689545173,5.276236379994171e-05
easy_s80,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,93.25,1.2747548783981961,6.5,2.0,0.9935250163642525,4.645346671801947e-05,0.006474983635747561,4.6453466718013985e-05,0.002162988825045078,7.806724506500129e-05,0.002162988825045078,7.806724506500129e-05
easy_s80,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,96.25,0.7905694150420949,10.5,2.9154759474226504,0.9845593878243974,0.0001515927841871328,0.015440612175602603,0.00015159278418720146,0.005683608542934514,0.00018110271417369814,0.005683608542934514,0.00018110271417369811
easy_s80,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,97.75,0.5,9.0,4.636809247747852,0.964942666653595,0.00039261343026817985,0.03505733334640502,0.00039261343026818506,0.010092863834327689,0.00026256971635078326,0.010092863834327687,0.00026256971635078337
easy_s80,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,98.75,0.0,12.5,3.1622776601683795,0.9370075965812024,0.0004087353636846245,0.06299240341879755,0.00040873536368458014,0.017240444874445583,0.00013150412050146108,0.017240444874445583,0.00013150412050146092
easy_s80,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,17.0,4.301162633521313,0.9498720816655372,0.00042328957839939184,0.05012791833446295,0.0004232895783993688,0.011495476671848125,0.00013579555306853668,0.011495476671848125,0.00013579555306853668
easy_s80,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,26.5,4.898979485566356,0.9552634252214782,0.00039655277514091597,0.04473657477852189,0.00039655277514095744,0.008375135137640492,0.00021234443837762096,0.008375135137640492,0.00021234443837762096
easy_s80,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,45.5,3.6742346141747673,0.9486354362055728,0.0005893197554667617,0.051364563794427165,0.0005893197554667521,0.009490232081952887,0.00025238124656432124,0.009490232081952887,0.00025238124656432124
