setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.99973059700318,0.0002694029968200553,0.0001994058583444682,0.0001994058583444682,100.0,0.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9977653709955641,0.0022346290044360333,0.001065972607687873,0.0010659726076878732,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9970482717241967,0.0029517282758031948,0.0012199411229808377,0.0012199411229808377,100.0,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9934830235354996,0.006516976464500437,0.002169520091799863,0.002169520091799863,95.0,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9846066523088003,0.015393347691199736,0.005529756995565557,0.005529756995565557,97.5,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9649345743527975,0.03506542564720259,0.010101479776820809,0.010101479776820809,97.5,5.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9371923684863389,0.06280763151366107,0.017275671598059608,0.017275671598059605,98.75,7.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9494741265543784,0.05052587344562164,0.011758468141307375,0.011758468141307375,100.0,10.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9546773962328361,0.04532260376716392,0.008576085973975711,0.008576085973975711,100.0,20.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.948219208116985,0.051780791883014966,0.00962909844335825,0.00962909844335825,100.0,50.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.8530090026943087,0.1469909973056912,0.0364411172661316,0.0364411172661316,100.0,60.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.881036275217115,0.11896372478288508,0.02383691321229146,0.02383691321229146,100.0,62.5
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.99973059700318,0.0002694029968200553,0.0001994058583444682,0.0001994058583444682,100.0,0.0
easy_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,0.9977653709955641,0.0022346290044360333,0.001065972607687873,0.0010659726076878732,100.0,5.0
