kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
baseline,easy_s80,vit_base_patch16_224,,0,layer_0,0.00025340406601792576,2.0,100.0
baseline,easy_s80,vit_base_patch16_224,,1,layer_1,0.002165676870368395,4.0,100.0
baseline,easy_s80,vit_base_patch16_224,,2,layer_2,0.002898296067907495,3.0,99.0
baseline,easy_s80,vit_base_patch16_224,,3,layer_3,0.006474983635747561,4.5,98.75
baseline,easy_s80,vit_base_patch16_224,,4,layer_4,0.015440612175602603,7.0,97.0
baseline,easy_s80,vit_base_patch16_224,,5,layer_5,0.03505733334640502,6.5,98.75
baseline,easy_s80,vit_base_patch16_224,,6,layer_8,0.04473657477852189,28.0,100.0
baseline,easy_s80,vit_base_patch16_224,,7,layer_7,0.05012791833446295,16.0,100.0
baseline,easy_s80,vit_base_patch16_224,,8,layer_9,0.051364563794427165,46.5,100.0
baseline,easy_s80,vit_base_patch16_224,,9,layer_6,0.06299240341879755,10.5,99.0
baseline,easy_s80,vit_base_patch16_224,,10,layer_11,0.11877556546034522,63.0,100.0
baseline,easy_s80,vit_base_patch16_224,,11,layer_10,0.14307485728211136,57.0,100.0
baseline,easy_s80,vit_base_patch16_clip_224.openai,,0,layer_0,0.0041452764622409545,3.0,99.0
baseline,easy_s80,vit_base_patch16_clip_224.openai,,1,layer_1,0.004264526728543378,4.5,97.5
baseline,easy_s80,vit_base_patch16_clip_224.openai,,2,layer_2,0.011685380041813043,4.5,61.25
baseline,easy_s80,vit_base_patch16_clip_224.openai,,3,layer_3,0.022585480551770207,5.0,48.0
baseline,easy_s80,vit_base_patch16_clip_224.openai,,4,layer_4,0.046926656827447684,7.0,20.5
baseline,easy_s80,vit_base_patch16_clip_224.openai,,5,layer_9,0.05191352354543745,11.5,96.0
baseline,easy_s80,vit_base_patch16_clip_224.openai,,6,layer_8,0.06284427268347667,6.0,87.25
baseline,easy_s80,vit_base_patch16_clip_224.openai,,7,layer_5,0.08151550115899317,6.5,13.75
baseline,easy_s80,vit_base_patch16_clip_224.openai,,8,layer_7,0.08873193891148354,2.5,57.5
baseline,easy_s80,vit_base_patch16_clip_224.openai,,9,layer_6,0.09995758587000672,2.0,12.5
baseline,easy_s80,vit_base_patch16_clip_224.openai,,10,layer_10,0.11812006553996397,23.5,98.75
baseline,easy_s80,vit_base_patch16_clip_224.openai,,11,layer_11,0.44180558684802873,53.0,100.0
dam,easy_s80,vit_base_patch16_224,2,0,layer_0,0.00025340406601792576,2.5,100.0
dam,easy_s80,vit_base_patch16_224,2,1,layer_1,0.002165676870368395,4.5,100.0
dam,easy_s80,vit_base_patch16_224,2,2,layer_2,0.002898296067907495,4.0,99.0
dam,easy_s80,vit_base_patch16_224,2,3,layer_3,0.006474983635747561,6.5,93.25
dam,easy_s80,vit_base_patch16_224,2,4,layer_4,0.015440612175602603,10.5,96.25
dam,easy_s80,vit_base_patch16_224,2,5,layer_5,0.03505733334640502,9.0,97.75
dam,easy_s80,vit_base_patch16_224,2,6,layer_8,0.04473657477852189,26.5,100.0
dam,easy_s80,vit_base_patch16_224,2,7,layer_7,0.05012791833446295,17.0,100.0
