kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,0,layer_0,0.00025340406601792576,2.5,1.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,1,layer_1,0.002165676870368395,1.5,1.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,2,layer_2,0.002898296067907495,1.0,1.75
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,3,layer_3,0.006474983635747561,1.5,3.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,4,layer_4,0.015440612175602603,3.0,10.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,5,layer_5,0.03505733334640502,3.0,38.0
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,6,layer_8,0.04473657477852189,13.0,28.75
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,7,layer_7,0.05012791833446295,8.0,37.75
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,8,layer_9,0.051364563794427165,23.5,30.25
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,9,layer_6,0.06299240341879755,5.0,59.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,10,layer_11,0.11877556546034522,58.0,67.5
baseline,occ50_dnoise001_s80,vit_base_patch16_224,,11,layer_10,0.14307485728211136,55.5,62.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,0,layer_0,0.0041452764622409545,1.0,1.5
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,1,layer_1,0.004264526728543378,1.0,2.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,2,layer_2,0.011685380041813043,1.5,7.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,3,layer_3,0.022585480551770207,2.0,15.75
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,4,layer_4,0.046926656827447684,1.5,55.25
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,5,layer_9,0.05191352354543745,6.0,31.5
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,6,layer_8,0.06284427268347667,1.5,55.5
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,7,layer_5,0.08151550115899317,2.5,90.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,8,layer_7,0.08873193891148354,2.0,88.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,9,layer_6,0.09995758587000672,2.5,94.0
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,10,layer_10,0.11812006553996397,21.0,28.75
baseline,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,,11,layer_11,0.44180558684802873,55.0,43.5
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,0,layer_0,0.00025340406601792576,2.0,7.25
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,1,layer_1,0.002165676870368395,4.0,9.25
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,2,layer_2,0.002898296067907495,3.5,14.25
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,3,layer_3,0.006474983635747561,7.0,59.75
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,4,layer_4,0.015440612175602603,9.5,92.5
dam,occ50_dnoise001_s80,vit_base_patch16_224,2,5,layer_5,0.03505733334640502,8.5,99.5
