kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
baseline,occ50_s40,vit_base_patch16_224,,0,layer_0,0.0002809476908081563,5.5,6.0
baseline,occ50_s40,vit_base_patch16_224,,1,layer_1,0.002211015906033268,8.25,16.0
baseline,occ50_s40,vit_base_patch16_224,,2,layer_2,0.0029172308337705047,9.25,29.5
baseline,occ50_s40,vit_base_patch16_224,,3,layer_3,0.006520695903219112,11.5,85.5
baseline,occ50_s40,vit_base_patch16_224,,4,layer_4,0.015447867490615965,12.25,98.5
baseline,occ50_s40,vit_base_patch16_224,,5,layer_5,0.03539498528038937,12.25,100.0
baseline,occ50_s40,vit_base_patch16_224,,6,layer_8,0.04568714276441857,30.75,98.0
baseline,occ50_s40,vit_base_patch16_224,,7,layer_7,0.051014494286409605,18.5,95.5
baseline,occ50_s40,vit_base_patch16_224,,8,layer_9,0.052072205900623836,43.0,96.0
baseline,occ50_s40,vit_base_patch16_224,,9,layer_6,0.0631213446153855,14.5,100.0
baseline,occ50_s40,vit_base_patch16_224,,10,layer_11,0.11712726963719096,52.75,90.5
baseline,occ50_s40,vit_base_patch16_224,,11,layer_10,0.143420422621662,51.0,79.5
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,0,layer_0,0.004249250804563318,7.25,5.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,1,layer_1,0.004316388912321267,8.0,22.5
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,2,layer_2,0.011764694230573755,10.25,74.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,3,layer_3,0.02240619143057118,9.25,97.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,4,layer_4,0.04696781312528443,8.5,100.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,5,layer_9,0.05194604199636976,14.5,76.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,6,layer_8,0.06262455669869482,9.5,97.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,7,layer_5,0.08159764556042545,7.25,100.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,8,layer_7,0.08776422503840206,7.5,100.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,9,layer_6,0.0994009790013222,5.0,100.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,10,layer_10,0.11812635938697931,28.0,49.0
baseline,occ50_s40,vit_base_patch16_clip_224.openai,,11,layer_11,0.44581541515747575,56.75,56.5
dam,occ50_s40,vit_base_patch16_224,2,0,layer_0,0.0002809476908081563,5.0,9.5
dam,occ50_s40,vit_base_patch16_224,2,1,layer_1,0.002211015906033268,6.25,18.5
dam,occ50_s40,vit_base_patch16_224,2,2,layer_2,0.0029172308337705047,6.5,28.0
dam,occ50_s40,vit_base_patch16_224,2,3,layer_3,0.006520695903219112,9.5,73.5
dam,occ50_s40,vit_base_patch16_224,2,4,layer_4,0.015447867490615965,11.5,97.0
dam,occ50_s40,vit_base_patch16_224,2,5,layer_5,0.03539498528038937,13.75,100.0
dam,occ50_s40,vit_base_patch16_224,2,6,layer_8,0.04568714276441857,30.75,98.5
dam,occ50_s40,vit_base_patch16_224,2,7,layer_7,0.051014494286409605,19.75,99.0
dam,occ50_s40,vit_base_patch16_224,2,8,layer_9,0.052072205900623836,45.0,98.0
dam,occ50_s40,vit_base_patch16_224,2,9,layer_6,0.0631213446153855,14.25,99.5
dam,occ50_s40,vit_base_patch16_224,2,10,layer_11,0.11712726963719096,56.25,96.0
dam,occ50_s40,vit_base_patch16_224,2,11,layer_10,0.143420422621662,57.0,98.5
dam,occ50_s40,vit_base_patch16_224,4,0,layer_0,0.0002809476908081563,5.5,9.5
dam,occ50_s40,vit_base_patch16_224,4,1,layer_1,0.002211015906033268,7.0,18.5
dam,occ50_s40,vit_base_patch16_224,4,2,layer_2,0.0029172308337705047,6.0,28.5
dam,occ50_s40,vit_base_patch16_224,4,3,layer_3,0.006520695903219112,9.25,74.5
dam,occ50_s40,vit_base_patch16_224,4,4,layer_4,0.015447867490615965,11.75,97.5
dam,occ50_s40,vit_base_patch16_224,4,5,layer_5,0.03539498528038937,14.0,100.0
dam,occ50_s40,vit_base_patch16_224,4,6,layer_8,0.04568714276441857,31.75,98.5
dam,occ50_s40,vit_base_patch16_224,4,7,layer_7,0.051014494286409605,19.75,99.0
dam,occ50_s40,vit_base_patch16_224,4,8,layer_9,0.052072205900623836,44.5,98.5
dam,occ50_s40,vit_base_patch16_224,4,9,layer_6,0.0631213446153855,14.5,99.5
dam,occ50_s40,vit_base_patch16_224,4,10,layer_11,0.11712726963719096,56.75,96.5
dam,occ50_s40,vit_base_patch16_224,4,11,layer_10,0.143420422621662,57.75,98.5
dam,occ50_s40,vit_base_patch16_224,6,0,layer_0,0.0002809476908081563,5.25,10.5
dam,occ50_s40,vit_base_patch16_224,6,1,layer_1,0.002211015906033268,6.25,19.0
dam,occ50_s40,vit_base_patch16_224,6,2,layer_2,0.0029172308337705047,6.25,28.0
dam,occ50_s40,vit_base_patch16_224,6,3,layer_3,0.006520695903219112,9.75,74.0
dam,occ50_s40,vit_base_patch16_224,6,4,layer_4,0.015447867490615965,10.75,97.0
dam,occ50_s40,vit_base_patch16_224,6,5,layer_5,0.03539498528038937,13.5,100.0
dam,occ50_s40,vit_base_patch16_224,6,6,layer_8,0.04568714276441857,31.25,99.0
dam,occ50_s40,vit_base_patch16_224,6,7,layer_7,0.051014494286409605,19.25,99.5
dam,occ50_s40,vit_base_patch16_224,6,8,layer_9,0.052072205900623836,44.25,98.5
dam,occ50_s40,vit_base_patch16_224,6,9,layer_6,0.0631213446153855,14.0,99.5
dam,occ50_s40,vit_base_patch16_224,6,10,layer_11,0.11712726963719096,56.5,96.0
dam,occ50_s40,vit_base_patch16_224,6,11,layer_10,0.143420422621662,57.25,98.5
dam,occ50_s40,vit_base_patch16_224,8,0,layer_0,0.0002809476908081563,5.25,10.0
dam,occ50_s40,vit_base_patch16_224,8,1,layer_1,0.002211015906033268,6.5,19.0
dam,occ50_s40,vit_base_patch16_224,8,2,layer_2,0.0029172308337705047,6.25,28.5
dam,occ50_s40,vit_base_patch16_224,8,3,layer_3,0.006520695903219112,9.25,75.5
dam,occ50_s40,vit_base_patch16_224,8,4,layer_4,0.015447867490615965,11.25,97.0
dam,occ50_s40,vit_base_patch16_224,8,5,layer_5,0.03539498528038937,14.0,100.0
dam,occ50_s40,vit_base_patch16_224,8,6,layer_8,0.04568714276441857,31.0,98.5
dam,occ50_s40,vit_base_patch16_224,8,7,layer_7,0.051014494286409605,19.25,99.0
dam,occ50_s40,vit_base_patch16_224,8,8,layer_9,0.052072205900623836,44.75,98.5
dam,occ50_s40,vit_base_patch16_224,8,9,layer_6,0.0631213446153855,15.25,99.5
dam,occ50_s40,vit_base_patch16_224,8,10,layer_11,0.11712726963719096,56.5,95.5
dam,occ50_s40,vit_base_patch16_224,8,11,layer_10,0.143420422621662,57.5,98.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,0,layer_0,0.004249250804563318,7.75,6.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,1,layer_1,0.004316388912321267,8.5,23.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,2,layer_2,0.011764694230573755,9.0,67.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,3,layer_3,0.02240619143057118,8.25,92.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,4,layer_4,0.04696781312528443,9.5,99.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,5,layer_9,0.05194604199636976,18.25,60.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,6,layer_8,0.06262455669869482,9.75,92.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,7,layer_5,0.08159764556042545,7.25,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,8,layer_7,0.08776422503840206,7.0,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,9,layer_6,0.0994009790013222,4.75,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,10,layer_10,0.11812635938697931,31.75,46.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,2,11,layer_11,0.44581541515747575,59.5,58.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,0,layer_0,0.004249250804563318,8.25,6.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,1,layer_1,0.004316388912321267,8.25,24.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,2,layer_2,0.011764694230573755,9.0,66.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,3,layer_3,0.02240619143057118,7.5,93.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,4,layer_4,0.04696781312528443,9.25,99.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,5,layer_9,0.05194604199636976,18.0,60.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,6,layer_8,0.06262455669869482,9.75,93.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,7,layer_5,0.08159764556042545,7.25,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,8,layer_7,0.08776422503840206,6.75,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,9,layer_6,0.0994009790013222,5.75,100.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,10,layer_10,0.11812635938697931,32.25,44.5
dam,occ50_s40,vit_base_patch16_clip_224.openai,4,11,layer_11,0.44581541515747575,58.25,57.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,6,0,layer_0,0.004249250804563318,7.5,6.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,6,1,layer_1,0.004316388912321267,8.0,24.0
dam,occ50_s40,vit_base_patch16_clip_224.openai,6,2,layer_2,0.011764694230573755,9.5,67.5
