category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,0.0,0.9997479632404642,-0.0001579403919350658,0.0,0.9996972501149823,-0.00024020523902449075,0.21275000000000005,0.58675,0.0,0.1271121890665281,100.0,100.0,1.0000000275661496,1.0000000275661496
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,65.0,0.9379167040398935,0.012258055674093517,37.5,0.9236816101459076,-0.013614848964474412,0.6575,0.142,70.0,0.2637852824986545,100.0,100.0,1.0000000335266144,1.0000000335266144
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,52.5,0.9715863261158709,0.010636288642600349,7.5,0.9503110797973031,-0.019156433290415643,0.3375,0.462,7.5,0.29780554246648155,100.0,100.0,1.0000000298013243,1.0000000298013243
fruits,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.5,0.9997359082027476,-0.00016029402766291057,0.0,0.9996753290124737,-0.0002650216367692526,0.17675000000000002,0.631305555,0.0,0.1271121890665281,100.0,100.0,1.000000030546382,1.000000030546382
fruits,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,57.49999999999999,0.9368479418504847,0.010378991813115404,40.0,0.9302724342105101,-0.008244464718584745,0.6765000000000001,0.131555555,72.5,0.2637852824986545,100.0,100.0,1.000000037996963,1.000000037996963
fruits,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,51.24999999999999,0.9723785688065272,0.00983857536776664,7.5,0.954668514276334,-0.012921704331612046,0.32975,0.47830555500000005,10.0,0.29780554246648155,100.0,100.0,1.0000000253309753,1.0000000253309753
fruits,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.5,0.9997304275519403,-0.00015916825018007786,2.5,0.9996260359805479,-0.00031405240676563305,0.22769444500000002,0.58711111,5.0,0.1271121890665281,100.0,100.0,1.0000000283112074,1.0000000283112074
fruits,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,57.49999999999999,0.9350377247746178,0.009226598631453604,55.00000000000001,0.932647384322044,-0.008146042945666726,0.7195,0.095305555,80.0,0.2637852824986545,100.0,100.0,1.000000032781556,1.000000032781556
fruits,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,53.75,0.9723241020148651,0.01115057129966247,5.0,0.9500869624812107,-0.01912538634306956,0.3135,0.5013055550000001,7.5,0.29780554246648155,100.0,100.0,1.0000000357617886,1.0000000357617886
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,mean_tokens,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,7.5,0.9310145558660505,-0.024182721763515713,5.0,0.9485584728242316,-0.03006455140943508,0.3075,0.492,7.5,0.2491273523623435,100.0,100.0,1.000000023840859,1.000000023840859
