category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.564102564102564,0.9997248313223613,-0.00018193783882995232,0.0,0.9997325386611917,-0.00020294771192615654,0.18538461538461537,0.6346153846153847,0.0,0.23028333369635332,100.0,100.0,1.0000000404995946,1.0000000404995946
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,71.7948717948718,0.9387685192521789,0.015717690964344905,41.02564102564102,0.9325660844838305,-0.008016227747013072,0.7094871794871794,0.11051282051282052,71.7948717948718,0.30382727361018574,100.0,100.0,1.0000000412637562,1.0000000412637562
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,67.94871794871796,0.9700141698437611,0.01217528026289183,17.94871794871795,0.9524861090681236,-0.012788514246577818,0.42,0.4,25.64102564102564,0.3546877856212228,100.0,100.0,1.0000000313296489,1.0000000313296489
vegetables,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,1.282051282051282,0.99974647697857,-0.00015115127539769505,0.0,0.999669736763764,-0.00025064670999964993,0.1823076923076923,0.6428205128205128,0.0,0.23028333369635332,100.0,100.0,1.0000000320938112,1.0000000320938112
vegetables,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,73.07692307692307,0.9375689099062395,0.016233847252238937,41.02564102564102,0.9276808594849826,-0.010186441919210473,0.6994871794871794,0.1256410256410256,71.7948717948718,0.30382727361018574,100.0,100.0,1.0000000359146208,1.0000000359146208
vegetables,fold_1,1,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,61.53846153846154,0.9696409214111841,0.011916163271121903,17.94871794871795,0.9507393394598714,-0.011710311707940785,0.4392307692307693,0.3858974358974359,23.076923076923077,0.3546877856212228,100.0,100.0,1.0000000305654864,1.0000000305654864
vegetables,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_0,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.564102564102564,0.9997310668873902,-0.00015876614852565295,2.564102564102564,0.9996994748975788,-0.0002302726182281183,0.1927350435897436,0.6295726487179487,5.128205128205128,0.23028333369635332,100.0,100.0,1.0000000374429452,1.0000000374429452
vegetables,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,67.94871794871796,0.9392158591046279,0.015367513978798307,46.15384615384615,0.93566022171443,-0.003939512681418282,0.7087179487179487,0.11358974358974358,66.66666666666666,0.30382727361018574,100.0,100.0,1.0000000450845665,1.0000000450845665
vegetables,fold_2,2,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,64.1025641025641,0.9705455821383807,0.013153809242545122,12.82051282051282,0.94800286728598,-0.014071557339541853,0.35974358974358983,0.4625641025641025,15.384615384615385,0.3546877856212228,100.0,100.0,1.0000000221597032,1.0000000221597032
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,mean_tokens,layer_0,78,39,1.2820512820512822,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,7.6923076923076925,0.9232002899965537,-0.0254470586592576,2.564102564102564,0.9486729432749902,-0.029276716289990193,0.31897435897435894,0.5010256410256411,7.6923076923076925,0.3276187372965344,100.0,100.0,1.0000000267446756,1.0000000267446756
