category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,80.0,0.9999508991837501,3.0502676963806152e-05,6.25,0.999778538942337,-0.0001451343297958374,0.30103125000000003,0.54821875,nan,0.14354816418179295,100.0,100.0,1.000000038743019,1.000000038743019
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,97.5,0.984280826151371,0.05126997232437134,52.5,0.9271451026201248,0.00837167575955391,0.7635,0.08574999999999999,nan,0.10526453273126307,100.0,100.0,1.0000000566244125,1.0000000566244125
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,95.0,0.9488121956586838,0.016677463054656984,22.5,0.9508314579725266,-0.012067807465791702,0.5262499999999999,0.32299999999999995,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,95.0,0.9999552249908448,4.642307758331299e-05,3.75,0.9997479610145092,-0.000189150869846344,0.25075,0.56021875,nan,0.14354816418179295,100.0,100.0,1.0000000327825547,1.0000000327825547
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,97.5,0.9850655108690262,0.05045166611671448,50.0,0.9264920629560948,0.005786299705505371,0.6956249999999999,0.11534375000000004,nan,0.10526453273126307,100.0,100.0,1.0000000655651093,1.0000000655651093
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,97.5,0.9501478478312493,0.014326128363609313,15.0,0.9482699528336525,-0.015070226788520814,0.476,0.33496875,nan,0.28781926605807334,100.0,100.0,1.0000000506639481,1.0000000506639481
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,80.0,0.9999537140130996,3.983229398727417e-05,6.25,0.9997794710099697,-0.0001560702919960022,0.27625,0.5553437499999999,nan,0.14354816418179295,100.0,100.0,1.00000002682209,1.00000002682209
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,100.0,0.9831137210130692,0.04490017294883728,48.75,0.9225171402096748,0.0020898841321468353,0.726625,0.10496875000000001,nan,0.10526453273126307,100.0,100.0,1.0000000685453414,1.0000000685453414
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,92.5,0.9515351191163063,0.012909938395023347,10.0,0.9484756857156753,-0.01593935042619705,0.48631250000000004,0.34528125000000004,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,noise_shift,noise30_shift16_dnoise0,30.0,16,0.3,0.3,6,0.05,0.0,80.0,0.9999552324414254,2.674311399459839e-05,3.75,0.999773208796978,-0.00015854686498641967,0.267625,0.5885,nan,0.14354816418179295,100.0,100.0,1.0000000417232513,1.0000000417232513
