model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,0,0.0,layer_0,100.0,1.0000000298023224,0.9978365004062653,0.002163529396057129,73.33333333333333,0.99833638270696,0.997827806075414,0.0005085766315460205,0.0013360530138015747
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,0,0.0,layer_11,100.0,1.0000000496705372,0.9967627873023351,0.0032372623682022095,58.333333333333336,0.9950690150260926,0.9951619346936543,-9.291966756184896e-05,0.0015721713503201802
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,0,0.0,layer_6,100.0,1.0000000496705372,0.992455373207728,0.007544676462809245,58.333333333333336,0.9912860274314881,0.9904922912518184,0.000793736179669698,0.004169206321239472
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,0,0.0,layer_0,100.0,1.0000000198682149,0.9986688767870268,0.001331143081188202,58.333333333333336,0.9983961507678032,0.9983401770393053,5.597372849782308e-05,0.0006935584048430125
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,0,0.0,layer_11,100.0,1.0000000546375911,0.9972216337919235,0.002778420845667521,37.5,0.9949745821456114,0.9960338150461515,-0.001059232900540034,0.0008595939725637435
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,0,0.0,layer_6,100.0,1.00000003973643,0.9941348607341448,0.005865179002285004,37.5,0.990842075397571,0.9927623805900415,-0.0019203051924705505,0.0019724369049072266
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,0,0.0,layer_0,100.0,1.0000000298023224,0.9988129784663519,0.0011870513359705608,69.44444444444444,0.9987908601760864,0.9985630843374464,0.00022777583864000108,0.000707413587305281
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,0,0.0,layer_11,100.0,1.0000000529819064,0.9978210611475838,0.0021789918343226113,22.22222222222222,0.9946637203296026,0.9960545947154363,-0.0013908743858337402,0.00039405872424443556
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,0,0.0,layer_6,100.0,1.0000000364250607,0.9950287325514687,0.004971303873591953,25.0,0.9907210618257523,0.9931953532828225,-0.0024742914570702445,0.0012485062082608542
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,2,0.0,layer_0,100.0,0.9997542848189672,0.9977745165427526,0.0019797682762145996,73.33333333333333,0.99833638270696,0.997827806075414,0.0005085766315460205,0.00124417245388031
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,2,0.0,layer_11,83.33333333333334,0.9982029249270757,0.996855432788531,0.0013474921385447185,58.333333333333336,0.9950690150260926,0.9951619346936543,-9.291966756184896e-05,0.0006272862354914347
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,0.0,2,0.0,layer_6,91.66666666666666,0.996360644698143,0.9919237196445465,0.004436925053596497,58.333333333333336,0.9912860274314881,0.9904922912518184,0.000793736179669698,0.0026153306166330974
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,2,0.0,layer_0,100.0,0.999778983493646,0.9986798316240311,0.001099151869614919,58.333333333333336,0.9983961507678032,0.9983401770393053,5.597372849782308e-05,0.000577562799056371
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,2,0.0,layer_11,66.66666666666666,0.9980101808905602,0.9976644193132719,0.00034576157728830975,37.5,0.9949745821456114,0.9960338150461515,-0.001059232900540034,-0.0003567356616258621
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,0.0,2,0.0,layer_6,79.16666666666666,0.9959377273917198,0.9946354056398073,0.0013023217519124348,37.5,0.990842075397571,0.9927623805900415,-0.0019203051924705505,-0.00030899172027905786
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,2,0.0,layer_0,100.0,0.9997609804073969,0.9988211294015249,0.0009398510058720907,69.44444444444444,0.9987908601760864,0.9985630843374464,0.00022777583864000108,0.0005838134222560459
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,2,0.0,layer_11,63.888888888888886,0.9981119881073633,0.9980267501539655,8.523795339796279e-05,22.22222222222222,0.9946637203296026,0.9960545947154363,-0.0013908743858337402,-0.0006528182162178888
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,0.0,2,0.0,layer_6,80.55555555555556,0.9963809731933806,0.9953671726915572,0.0010138005018234253,25.0,0.9907210618257523,0.9931953532828225,-0.0024742914570702445,-0.0007302454776234096
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,0,0.0,layer_0,75.0,0.9467330574989319,0.9448551138242086,0.0018779436747233074,73.33333333333333,0.99833638270696,0.997827806075414,0.0005085766315460205,0.001193260153134664
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,0,0.0,layer_11,16.666666666666664,0.9134240845839182,0.9264846245447794,-0.013060539960861206,58.333333333333336,0.9950690150260926,0.9951619346936543,-9.291966756184896e-05,-0.006576729814211527
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,0,0.0,layer_6,33.33333333333333,0.8608145117759705,0.8687336444854736,-0.007919132709503174,58.333333333333336,0.9912860274314881,0.9904922912518184,0.000793736179669698,-0.003562698264916738
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,0,0.0,layer_0,50.0,0.9463762591282526,0.9457139198978742,0.0006623392303784689,58.333333333333336,0.9983961507678032,0.9983401770393053,5.597372849782308e-05,0.000359156479438146
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,0,0.0,layer_11,16.666666666666664,0.9157742833097776,0.9295723413427671,-0.013798058032989502,37.5,0.9949745821456114,0.9960338150461515,-0.001059232900540034,-0.007428645466764768
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,0,0.0,layer_6,12.5,0.8647138401865959,0.8730843787391981,-0.008370538552602133,37.5,0.990842075397571,0.9927623805900415,-0.0019203051924705505,-0.005145421872536342
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,0,0.0,layer_0,44.44444444444444,0.9465310457679961,0.9464494287967682,8.161697122785781e-05,69.44444444444444,0.9987908601760864,0.9985630843374464,0.00022777583864000108,0.00015469640493392944
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,0,0.0,layer_11,11.11111111111111,0.9148279279470444,0.929671992858251,-0.014844064911206564,22.22222222222222,0.9946637203296026,0.9960545947154363,-0.0013908743858337402,-0.008117469648520153
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,0,0.0,layer_6,8.333333333333332,0.8634396394093832,0.872240639395184,-0.00880099998580085,25.0,0.9907210618257523,0.9931953532828225,-0.0024742914570702445,-0.005637645721435547
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.0,layer_0,75.0,0.9465364317099253,0.9448146124680837,0.001721819241841634,73.33333333333333,0.99833638270696,0.997827806075414,0.0005085766315460205,0.0011151979366938272
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.0,layer_11,16.666666666666664,0.9174101849397024,0.9301741023858389,-0.012763917446136475,58.333333333333336,0.9950690150260926,0.9951619346936543,-9.291966756184896e-05,-0.006428418556849161
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.0,layer_6,25.0,0.862156331539154,0.8696128080288569,-0.007456476489702861,58.333333333333336,0.9912860274314881,0.9904922912518184,0.000793736179669698,-0.0033313701550165813
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.0,layer_0,50.0,0.9462063064177831,0.945700965821743,0.00050534059604009,58.333333333333336,0.9983961507678032,0.9983401770393053,5.597372849782308e-05,0.00028065716226895654
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.0,layer_11,4.166666666666666,0.9157150114576021,0.9301841060320536,-0.014469094574451447,37.5,0.9949745821456114,0.9960338150461515,-0.001059232900540034,-0.00776416373749574
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.0,layer_6,8.333333333333332,0.8606332888205847,0.8702478458484014,-0.009614557027816772,37.5,0.990842075397571,0.9927623805900415,-0.0019203051924705505,-0.0057674311101436615
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.0,layer_0,38.88888888888889,0.9466237293349372,0.946808710694313,-0.0001849813593758477,69.44444444444444,0.9987908601760864,0.9985630843374464,0.00022777583864000108,2.1397239632076686e-05
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.0,layer_11,2.7777777777777777,0.9147105928924348,0.9298748158746295,-0.015164222982194688,22.22222222222222,0.9946637203296026,0.9960545947154363,-0.0013908743858337402,-0.008277548684014214
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.0,layer_6,5.555555555555555,0.8612351715564728,0.8708334035343595,-0.009598231977886625,25.0,0.9907210618257523,0.9931953532828225,-0.0024742914570702445,-0.0060362617174784345
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,0.0,0,0.0,layer_0,100.0,1.0000000298023224,0.9978365004062653,0.002163529396057129,73.33333333333333,0.99833638270696,0.997827806075414,0.0005085766315460205,0.0013360530138015747
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,0.0,0,0.0,layer_11,100.0,1.0000000496705372,0.9967627873023351,0.0032372623682022095,58.333333333333336,0.9950690150260926,0.9951619346936543,-9.291966756184896e-05,0.0015721713503201802
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,0.0,0,0.0,layer_6,100.0,1.0000000496705372,0.992455373207728,0.007544676462809245,58.333333333333336,0.9912860274314881,0.9904922912518184,0.000793736179669698,0.004169206321239472
