setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
easy_s40,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,5.0,1.7677669529663689
easy_s40,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.25,2.3717082451262845
easy_s40,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.5,3.0
easy_s40,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,98.0,1.8708286933869707,9.5,6.4031242374328485
easy_s40,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,97.5,1.5811388300841898,11.5,4.430011286667337
easy_s40,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,13.75,3.872983346207417
easy_s40,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,14.25,5.0373604199024715
easy_s40,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,19.75,5.326818938165629
easy_s40,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,30.75,4.513867521316946
easy_s40,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,45.0,5.0
easy_s40,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,57.0,3.999999999999998
easy_s40,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,56.25,7.071067811865476
easy_s40,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,5.5,1.2747548783981961
easy_s40,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,7.0,3.2210246816812815
easy_s40,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.0,2.5495097567963922
easy_s40,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,98.5,2.0,9.25,5.5113519212621505
easy_s40,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,97.5,2.23606797749979,11.75,3.588175023601831
easy_s40,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,14.0,4.358898943540674
easy_s40,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,14.5,5.947688626685159
easy_s40,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,19.75,4.636809247747851
easy_s40,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,31.75,3.316624790355399
easy_s40,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,44.5,4.153311931459036
easy_s40,vit_base_patch16_224,cls,layer_10,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,57.75,4.834769901453429
easy_s40,vit_base_patch16_224,cls,layer_11,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,56.75,5.947688626685161
easy_s40,vit_base_patch16_224,cls,layer_0,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,5.25,1.6583123951777
easy_s40,vit_base_patch16_224,cls,layer_1,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.25,2.3717082451262845
easy_s40,vit_base_patch16_224,cls,layer_2,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.25,2.091650066335189
easy_s40,vit_base_patch16_224,cls,layer_3,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,98.0,1.8708286933869707,9.75,6.393355926272211
easy_s40,vit_base_patch16_224,cls,layer_4,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,98.0,1.8708286933869707,10.75,3.6742346141747673
easy_s40,vit_base_patch16_224,cls,layer_5,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,13.5,3.391164991562634
easy_s40,vit_base_patch16_224,cls,layer_6,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,14.0,5.086747487343951
easy_s40,vit_base_patch16_224,cls,layer_7,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,19.25,4.227883631321942
easy_s40,vit_base_patch16_224,cls,layer_8,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,31.25,4.677071733467427
easy_s40,vit_base_patch16_224,cls,layer_9,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,44.25,3.758324094593227
easy_s40,vit_base_patch16_224,cls,layer_10,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,57.25,4.430011286667337
easy_s40,vit_base_patch16_224,cls,layer_11,6,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,56.5,6.294839156007087
easy_s40,vit_base_patch16_224,cls,layer_0,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,5.25,1.6583123951777
easy_s40,vit_base_patch16_224,cls,layer_1,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.5,2.7838821814150108
easy_s40,vit_base_patch16_224,cls,layer_2,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,6.25,2.091650066335189
easy_s40,vit_base_patch16_224,cls,layer_3,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,98.5,2.0,9.25,5.947688626685159
easy_s40,vit_base_patch16_224,cls,layer_4,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,97.5,2.23606797749979,11.25,3.952847075210474
easy_s40,vit_base_patch16_224,cls,layer_5,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,14.0,3.824264635194589
easy_s40,vit_base_patch16_224,cls,layer_6,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,15.25,5.830951894845301
easy_s40,vit_base_patch16_224,cls,layer_7,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,19.25,4.513867521316948
easy_s40,vit_base_patch16_224,cls,layer_8,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,31.0,3.8242646351945893
easy_s40,vit_base_patch16_224,cls,layer_9,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,44.75,5.326818938165629
easy_s40,vit_base_patch16_224,cls,layer_10,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,57.5,4.401704215414752
easy_s40,vit_base_patch16_224,cls,layer_11,8,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,56.5,6.490377492873586
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_0,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,7.75,1.8371173070873836
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_1,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,99.0,1.224744871391589,8.5,2.4238399287081647
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_2,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,65.0,5.000000000000002,9.0,2.8939592256975564
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_3,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,42.5,7.582875444051553,8.25,3.221024681681282
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_4,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,23.0,13.729530217745982,9.5,5.894913061275798
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_5,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,20.5,17.349351572897476,7.25,2.5495097567963922
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_6,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,18.0,12.288205727444508,4.75,2.1505813167606567
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_7,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,60.0,19.03943276465977,7.0,2.806243040080456
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_8,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,94.5,3.6742346141747673,9.75,3.7416573867739413
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_9,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,99.0,2.0,18.25,3.7583240945932266
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_10,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,31.75,3.6742346141747655
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_11,2,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,59.5,5.623610939600999
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_0,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,8.25,2.318404623873926
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_1,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,99.0,1.224744871391589,8.25,2.318404623873926
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_2,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,64.0,4.358898943540676,9.0,3.1024184114977142
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_3,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,43.0,7.314369419163899,7.5,3.354101966249685
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_4,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,21.5,13.095800853708795,9.25,4.782781617427248
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_5,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,20.5,17.349351572897476,7.25,2.669269563007828
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_6,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,17.5,13.874436925511608,5.75,2.9154759474226504
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_7,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,58.5,20.40833163195855,6.75,2.9154759474226504
easy_s40,vit_base_patch16_clip_224.openai,cls,layer_8,4,0.02,0.1,0.05,2,40,80,0.0,noise_shift,5.0,2,0.0,768,5,94.0,4.358898943540674,9.75,4.138236339311712
