setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
hard_s40,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,8.0,2.9154759474226504,4.75,1.8371173070873836
hard_s40,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,18.5,5.830951894845302,6.0,2.29128784747792
hard_s40,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,26.5,6.6332495807108,6.75,3.122498999199199
hard_s40,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,48.0,12.589678312014172,9.5,6.254998001598402
hard_s40,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,57.5,9.746794344808963,11.25,3.952847075210474
hard_s40,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,86.0,5.1478150704935,13.75,3.872983346207417
hard_s40,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,87.5,2.23606797749979,14.75,5.326818938165629
hard_s40,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,90.0,5.0,19.25,5.099019513592783
hard_s40,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,95.0,3.1622776601683795,31.5,5.5
hard_s40,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,96.5,1.224744871391589,44.25,4.444097208657792
hard_s40,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,97.5,2.23606797749979,56.0,4.962358310319803
hard_s40,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,92.0,1.8708286933869707,55.0,6.892024376045112
hard_s40,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,8.5,2.5495097567963922,4.75,1.6583123951777
hard_s40,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,17.5,6.123724356957946,7.0,3.2210246816812815
hard_s40,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,26.5,6.6332495807108,6.0,1.8371173070873836
hard_s40,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,45.5,12.186057606953938,10.0,6.661456297237114
hard_s40,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,57.5,9.746794344808963,10.5,4.227883631321941
hard_s40,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,86.5,5.612486080160912,13.25,3.6742346141747673
hard_s40,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,87.5,3.1622776601683795,14.75,5.777110004145672
hard_s40,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,90.5,4.0,19.5,4.974937185533098
hard_s40,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,95.5,2.449489742783178,31.5,4.568916720624266
hard_s40,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,96.0,2.0,44.75,4.062019202317978
