setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
hard_s80,vit_base_patch16_224,cls,layer_0,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,2.5,2.7386127875258306
hard_s80,vit_base_patch16_224,cls,layer_1,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,1.5,2.0
hard_s80,vit_base_patch16_224,cls,layer_2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,1.75,0.6123724356957945,1.0,2.0
hard_s80,vit_base_patch16_224,cls,layer_3,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,3.25,1.2747548783981961,1.5,2.0
hard_s80,vit_base_patch16_224,cls,layer_4,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,7.75,0.5,3.0,2.9154759474226504
hard_s80,vit_base_patch16_224,cls,layer_5,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,23.5,2.7838821814150108,3.0,1.8708286933869707
hard_s80,vit_base_patch16_224,cls,layer_6,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,38.75,1.3693063937629153,5.0,2.23606797749979
hard_s80,vit_base_patch16_224,cls,layer_7,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,25.25,1.4577379737113252,8.0,1.8708286933869707
hard_s80,vit_base_patch16_224,cls,layer_8,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,20.5,2.318404623873926,13.0,4.301162633521313
hard_s80,vit_base_patch16_224,cls,layer_9,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,26.75,1.2747548783981955,23.5,3.7416573867739413
hard_s80,vit_base_patch16_224,cls,layer_10,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,59.0,4.898979485566357,55.5,3.999999999999999
hard_s80,vit_base_patch16_224,cls,layer_11,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,65.5,4.153311931459038,58.0,5.099019513592784
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,1.0,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,1.75,0.6123724356957945,1.0,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,5.5,1.2747548783981961,1.5,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,8.0,1.5,2.0,1.8708286933869707
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,10.5,3.122498999199199,1.5,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,9.5,1.695582495781317,2.5,2.23606797749979
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,9.25,2.57390753524675,2.5,2.23606797749979
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,20.5,4.077376607575024,2.0,1.8708286933869707
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,21.5,2.8939592256975564,1.5,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,15.75,2.5739075352467498,6.0,2.0
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,22.0,4.911720676097125,21.0,2.5495097567963922
hard_s80,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,5,37.0,5.787918451395113,55.0,4.743416490252568
