setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,2.5,2.7386127875258306
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,1.5,2.0
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,5,1.75,0.6123724356957945,1.0,2.0
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,5,3.5,1.224744871391589,1.5,2.0
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,5,10.5,2.03100960115899,3.0,2.9154759474226504
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,5,38.0,2.9154759474226504,3.0,1.8708286933869707
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,5,59.5,5.567764362830024,5.0,2.23606797749979
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,5,37.75,2.1505813167606567,8.0,1.8708286933869707
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,5,28.75,4.330127018922193,13.0,4.301162633521313
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,5,30.25,2.1505813167606562,23.5,3.7416573867739413
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,5,62.0,5.279678020485717,55.5,3.999999999999999
occ50_dnoise001_s80,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,5,67.5,3.4460121880225527,58.0,5.099019513592784
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,5,1.5,0.9354143466934853,1.0,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,5,2.0,0.6123724356957945,1.0,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,5,7.0,1.5,1.5,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,5,15.75,1.0,2.0,1.8708286933869707
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,5,55.25,2.5495097567963945,1.5,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,5,90.0,4.183300132670378,2.5,2.23606797749979
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,5,94.0,4.703721930556695,2.5,2.23606797749979
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,5,88.0,4.227883631321941,2.0,1.8708286933869707
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,5,55.5,3.758324094593226,1.5,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,5,31.5,2.000000000000001,6.0,2.0
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,5,28.75,6.020797289396148,21.0,2.5495097567963922
occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,5,43.5,4.703721930556693,55.0,4.743416490252568
