setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,ident_accuracy,gen_accuracy
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,0.0,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,3.75,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,11.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,42.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,66.25,2.5
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,40.0,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,35.0,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,31.25,20.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,67.5,57.49999999999999
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,70.0,50.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,6.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,15.0,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,58.75,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,92.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,98.75,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,93.75,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,57.49999999999999,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,28.749999999999996,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,22.5,25.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,37.5,62.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,2.5,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,5.0,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,7.5,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,33.75,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,56.25,7.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,33.75,10.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,25.0,15.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,27.500000000000004,22.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,66.25,62.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,67.5,65.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,6.25,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,16.25,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,53.75,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,95.0,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,100.0,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,82.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,56.25,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,31.25,7.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,25.0,20.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,45.0,57.49999999999999
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,2.5,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,3.75,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,12.5,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,38.75,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,58.75,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,38.75,10.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,32.5,12.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,33.75,20.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,56.25,52.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,67.5,60.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,10.0,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,17.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,56.25,0.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,90.0,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,91.25,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,90.0,2.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,55.00000000000001,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,30.0,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,32.5,20.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,43.75,55.00000000000001
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,12.5,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,38.75,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,65.0,5.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,38.75,7.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,27.500000000000004,15.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,30.0,25.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,65.0,52.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,71.25,55.00000000000001
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,6.25,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,15.0,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,56.25,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,90.0,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,92.5,0.0
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,90.0,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,60.0,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,33.75,2.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,38.75,17.5
occ50_dnoise001_s80,stored_80_seed_3,3,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,51.24999999999999,50.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.0,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,1.25,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,3.75,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,8.75,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,36.25,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,51.24999999999999,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,37.5,7.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,23.75,17.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,28.749999999999996,30.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,55.00000000000001,52.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,61.25000000000001,60.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.0,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,6.25,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,15.0,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,51.24999999999999,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,82.5,5.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,87.5,2.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,83.75,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,48.75,0.0
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,33.75,7.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,25.0,22.5
occ50_dnoise001_s80,stored_80_seed_4,4,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,40.0,50.0
