setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
occ50_s80,vit_base_patch16_224,cls,layer_0,80,40,0.0,occlusion,5.0,2,0.5,5,5.0,2.23606797749979,2.0,1.8708286933869707
occ50_s80,vit_base_patch16_224,cls,layer_1,80,40,0.0,occlusion,5.0,2,0.5,5,8.75,1.5811388300841898,4.0,2.0
occ50_s80,vit_base_patch16_224,cls,layer_2,80,40,0.0,occlusion,5.0,2,0.5,5,16.25,3.259601202601324,3.0,1.8708286933869707
occ50_s80,vit_base_patch16_224,cls,layer_3,80,40,0.0,occlusion,5.0,2,0.5,5,79.75,2.0,4.5,1.8708286933869707
occ50_s80,vit_base_patch16_224,cls,layer_4,80,40,0.0,occlusion,5.0,2,0.5,5,96.75,0.6123724356957945,7.0,2.9154759474226504
occ50_s80,vit_base_patch16_224,cls,layer_5,80,40,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,6.5,2.0
occ50_s80,vit_base_patch16_224,cls,layer_6,80,40,0.0,occlusion,5.0,2,0.5,5,99.5,0.6123724356957945,10.5,1.8708286933869707
occ50_s80,vit_base_patch16_224,cls,layer_7,80,40,0.0,occlusion,5.0,2,0.5,5,94.0,2.5495097567963922,16.0,3.391164991562634
occ50_s80,vit_base_patch16_224,cls,layer_8,80,40,0.0,occlusion,5.0,2,0.5,5,91.75,1.695582495781317,28.0,4.301162633521313
occ50_s80,vit_base_patch16_224,cls,layer_9,80,40,0.0,occlusion,5.0,2,0.5,5,82.75,6.244997998398398,46.5,5.147815070493502
occ50_s80,vit_base_patch16_224,cls,layer_10,80,40,0.0,occlusion,5.0,2,0.5,5,78.25,5.0990195135927845,57.0,5.787918451395113
occ50_s80,vit_base_patch16_224,cls,layer_11,80,40,0.0,occlusion,5.0,2,0.5,5,88.0,2.03100960115899,63.0,6.204836822995428
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.0,occlusion,5.0,2,0.5,5,2.5,0.7905694150420949,3.0,1.8708286933869707
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.0,occlusion,5.0,2,0.5,5,12.25,2.893959225697557,4.5,2.449489742783178
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.0,occlusion,5.0,2,0.5,5,63.5,2.669269563007828,4.5,2.9154759474226504
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.0,occlusion,5.0,2,0.5,5,95.25,0.9354143466934853,5.0,3.1622776601683795
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,7.0,3.6742346141747673
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,6.5,3.391164991562634
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.0,occlusion,5.0,2,0.5,5,100.0,0.0,2.0,2.449489742783178
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.0,occlusion,5.0,2,0.5,5,99.25,0.6123724356957945,2.5,2.7386127875258306
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.0,occlusion,5.0,2,0.5,5,93.75,1.7677669529663689,6.0,3.7416573867739413
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.0,occlusion,5.0,2,0.5,5,63.0,4.513867521316949,11.5,5.1478150704935
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.0,occlusion,5.0,2,0.5,5,37.5,4.183300132670378,23.5,7.516648189186454
occ50_s80,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.0,occlusion,5.0,2,0.5,5,44.5,5.623610939600996,53.0,3.6742346141747673
