setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9997290987918205,0.00027090120817948194,0.00019303711502930486,0.00019303711502930486,6.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9977824086125981,0.0022175913874018342,0.001059182396276603,0.001059182396276603,8.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9970584755222959,0.002941524477703994,0.0012107749900762237,0.0012107749900762237,13.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9934892475141451,0.006510752485854853,0.0021309807049239068,0.0021309807049239068,56.99999999999999,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9844012387237767,0.015598761276223281,0.0057453482576154905,0.0057453482576154905,96.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9646611444596104,0.0353388555403897,0.010124710243268185,0.010124710243268184,99.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9365057228581203,0.06349427714187975,0.017428975968029718,0.017428975968029718,98.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.949868627300035,0.0501313726999649,0.011812357762153032,0.011812357762153032,100.0,20.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.95495577327742,0.04504422672258005,0.00820281358334467,0.00820281358334467,97.0,30.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9484698987739457,0.051530101226054274,0.009234175090322448,0.009234175090322448,96.0,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.8543522447380552,0.14564775526194496,0.03568795692148359,0.0356879569214836,95.0,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.8785464856710038,0.12145351432899625,0.022326584072052753,0.022326584072052753,93.0,40.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9997290987918205,0.00027090120817948194,0.00019303711502930486,0.00019303711502930486,5.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9977824086125981,0.0022175913874018342,0.001059182396276603,0.001059182396276603,9.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9970584755222959,0.002941524477703994,0.0012107749900762237,0.0012107749900762237,14.000000000000002,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9934892475141451,0.006510752485854853,0.0021309807049239068,0.0021309807049239068,59.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9844012387237767,0.015598761276223281,0.0057453482576154905,0.0057453482576154905,96.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9646611444596104,0.0353388555403897,0.010124710243268185,0.010124710243268184,99.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9365057228581203,0.06349427714187975,0.017428975968029718,0.017428975968029718,98.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.949868627300035,0.0501313726999649,0.011812357762153032,0.011812357762153032,100.0,20.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.95495577327742,0.04504422672258005,0.00820281358334467,0.00820281358334467,97.0,30.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9484698987739457,0.051530101226054274,0.009234175090322448,0.009234175090322448,96.0,40.0
