setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.9997305970031799,0.0002694029968200593,0.00019940585834446874,0.00019940585834446874,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,0.9977653709955638,0.0022346290044360302,0.001065972607687875,0.001065972607687875,0.0,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,0.997048271724197,0.0029517282758032043,0.0012199411229808367,0.0012199411229808367,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,0.9934830235354996,0.006516976464500442,0.002169520091799861,0.002169520091799861,3.75,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,0.9846066523088003,0.015393347691199738,0.005529756995565554,0.005529756995565553,11.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,0.9649345743527974,0.03506542564720258,0.010101479776820813,0.010101479776820813,42.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,0.9371923684863389,0.06280763151366109,0.01727567159805961,0.01727567159805961,66.25,2.5
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,0.9494741265543784,0.05052587344562165,0.011758468141307382,0.011758468141307382,40.0,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,0.9546773962328361,0.045322603767163905,0.008576085973975718,0.008576085973975718,35.0,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,0.948219208116985,0.05178079188301495,0.009629098443358259,0.009629098443358259,31.25,20.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,0.8530090026943087,0.1469909973056912,0.03644111726613159,0.03644111726613159,67.5,57.49999999999999
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,0.881036275217115,0.11896372478288507,0.023836913212291477,0.023836913212291477,70.0,50.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.9957039617851003,0.004296038214899557,0.0025645600050321045,0.0025645600050321045,1.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,0.9956279237403515,0.004372076259648704,0.00188525851282858,0.0018852585128285798,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,0.9883527810213063,0.011647218978693691,0.004566830493825772,0.004566830493825772,6.25,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,0.9774881653027494,0.02251183469725068,0.007886506242069716,0.007886506242069716,15.0,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,0.9535691759614018,0.0464308240385983,0.01576907780052287,0.01576907780052287,58.75,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,0.9189416878798485,0.08105831212015158,0.02336620818555723,0.02336620818555723,92.5,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,0.9004041981029196,0.09959580189708045,0.024680968682924954,0.024680968682924954,98.75,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,0.9112428062101068,0.0887571937898933,0.021526324853027815,0.021526324853027815,93.75,5.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,0.9366333697151408,0.06336663028485917,0.015433050906008597,0.015433050906008597,57.49999999999999,0.0
occ50_dnoise001_s80,stored_80_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,0.9470902424611092,0.05290975753889076,0.011702288868465563,0.011702288868465563,28.749999999999996,5.0
