setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9997305970031799,0.0002694029968200593,0.00019940585834446874,0.00019940585834446874,6.25,0.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9977653709955638,0.0022346290044360302,0.001065972607687875,0.001065972607687875,8.75,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.997048271724197,0.0029517282758032043,0.0012199411229808367,0.0012199411229808367,13.750000000000002,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9934830235354996,0.006516976464500442,0.002169520091799861,0.002169520091799861,61.25000000000001,7.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9846066523088003,0.015393347691199738,0.005529756995565554,0.005529756995565553,93.75,7.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9649345743527974,0.03506542564720258,0.010101479776820813,0.010101479776820813,98.75,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9371923684863389,0.06280763151366109,0.01727567159805961,0.01727567159805961,96.25,7.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9494741265543784,0.05052587344562165,0.011758468141307382,0.011758468141307382,97.5,10.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9546773962328361,0.045322603767163905,0.008576085973975718,0.008576085973975718,97.5,20.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.948219208116985,0.05178079188301495,0.009629098443358259,0.009629098443358259,95.0,50.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.8530090026943087,0.1469909973056912,0.03644111726613159,0.03644111726613159,93.75,60.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.881036275217115,0.11896372478288507,0.023836913212291477,0.023836913212291477,93.75,62.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9997305970031799,0.0002694029968200593,0.00019940585834446874,0.00019940585834446874,5.0,0.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9977653709955638,0.0022346290044360302,0.001065972607687875,0.001065972607687875,10.0,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.997048271724197,0.0029517282758032043,0.0012199411229808367,0.0012199411229808367,12.5,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9934830235354996,0.006516976464500442,0.002169520091799861,0.002169520091799861,61.25000000000001,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9846066523088003,0.015393347691199738,0.005529756995565554,0.005529756995565553,93.75,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9649345743527974,0.03506542564720258,0.010101479776820813,0.010101479776820813,98.75,2.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9371923684863389,0.06280763151366109,0.01727567159805961,0.01727567159805961,98.75,7.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9494741265543784,0.05052587344562165,0.011758468141307382,0.011758468141307382,97.5,10.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9546773962328361,0.045322603767163905,0.008576085973975718,0.008576085973975718,97.5,17.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.948219208116985,0.05178079188301495,0.009629098443358259,0.009629098443358259,93.75,47.5
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_10,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.8530090026943087,0.1469909973056912,0.03644111726613159,0.03644111726613159,93.75,60.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_11,4,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.881036275217115,0.11896372478288507,0.023836913212291477,0.023836913212291477,93.75,60.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_0,6,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9997305970031799,0.0002694029968200593,0.00019940585834446874,0.00019940585834446874,7.5,0.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_1,6,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9977653709955638,0.0022346290044360302,0.001065972607687875,0.001065972607687875,8.75,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_2,6,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.997048271724197,0.0029517282758032043,0.0012199411229808367,0.0012199411229808367,13.750000000000002,5.0
occ50_s80,stored_80_seed_0,0,vit_base_patch16_224,cls,layer_3,6,0.02,0.1,0.05,2,80,40,0.0,occlusion,5.0,2,0.5,768,0.9934830235354996,0.006516976464500442,0.002169520091799861,0.002169520091799861,62.5,7.5
