kind,setting_name,model_name,dam_n,ident_vs_distance_spearman,gen_vs_distance_spearman,best_gen_layer,best_gen_distance,best_gen_tercile,classification
baseline,occ50_s80,vit_base_patch16_224,,0.46153846153846156,0.9300699300699302,layer_11,0.1187755654603452,high,tradeoff_partial
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,0.32867132867132864,0.37762237762237766,layer_11,0.44180558684802873,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_224,2,0.6293706293706295,0.9300699300699302,layer_11,0.1187755654603452,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_224,4,0.6433566433566434,0.9440559440559443,layer_11,0.1187755654603452,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_224,6,0.6223776223776225,0.9370629370629372,layer_11,0.1187755654603452,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_224,8,0.6433566433566434,0.9440559440559443,layer_11,0.1187755654603452,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,0.35664335664335667,0.34965034965034975,layer_11,0.44180558684802873,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_clip_224.openai,4,0.35664335664335667,0.2797202797202798,layer_11,0.44180558684802873,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_clip_224.openai,6,0.35664335664335667,0.18181818181818185,layer_11,0.44180558684802873,high,tradeoff_partial
dam,occ50_s80,vit_base_patch16_clip_224.openai,8,0.35664335664335667,0.18181818181818185,layer_11,0.44180558684802873,high,tradeoff_partial
