kind,setting_name,model_name,dam_n,ident_vs_distance_spearman,gen_vs_distance_spearman,best_gen_layer,best_gen_distance,best_gen_tercile,classification
baseline,easy_s100,vit_base_patch16_224,,0.6433566433566434,0.9230769230769231,layer_10,0.14492244818354916,high,tradeoff_partial
baseline,easy_s100,vit_base_patch16_clip_224.openai,,0.04895104895104895,0.7762237762237763,layer_11,0.4426367970112068,high,tradeoff_not_supported
dam,easy_s100,vit_base_patch16_224,2,0.6293706293706295,0.9440559440559443,layer_10,0.14492244818354916,high,tradeoff_partial
dam,easy_s100,vit_base_patch16_224,4,0.6293706293706295,0.9440559440559443,layer_11,0.11951961507753886,high,tradeoff_partial
dam,easy_s100,vit_base_patch16_224,6,0.6293706293706295,0.9510489510489512,layer_10,0.14492244818354916,high,tradeoff_partial
dam,easy_s100,vit_base_patch16_224,8,0.6293706293706295,0.9440559440559443,layer_11,0.11951961507753886,high,tradeoff_partial
dam,easy_s100,vit_base_patch16_clip_224.openai,2,-0.04895104895104895,0.6783216783216784,layer_11,0.4426367970112068,high,tradeoff_not_supported
dam,easy_s100,vit_base_patch16_clip_224.openai,4,-0.04895104895104895,0.7412587412587414,layer_11,0.4426367970112068,high,tradeoff_not_supported
dam,easy_s100,vit_base_patch16_clip_224.openai,6,-0.04895104895104895,0.6573426573426573,layer_11,0.4426367970112068,high,tradeoff_not_supported
dam,easy_s100,vit_base_patch16_clip_224.openai,8,-0.04895104895104895,0.7622377622377624,layer_11,0.4426367970112068,high,tradeoff_not_supported
