setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,0.9997748337062173,0.000225166293782742,0.00012886277937679947,0.0001288627793767995,5.0,2.5
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,0.9979708864712781,0.0020291135287220734,0.0009536583623316568,0.0009536583623316568,5.0,2.5
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,0.9973409583679321,0.002659041632067755,0.0010254837177253813,0.001025483717725381,5.0,2.5
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,0.9938384728085865,0.006161527191413539,0.0018328612820996354,0.0018328612820996354,5.0,2.5
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,0.9851274846636533,0.014872515336346809,0.0050428222565938085,0.0050428222565938085,15.0,5.0
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,0.9655388088419045,0.03446119115809546,0.009418601085609544,0.009418601085609544,52.5,10.0
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,0.9383941112388346,0.06160588876116525,0.015605527989383772,0.015605527989383772,72.5,11.25
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,0.9502030499754707,0.049796950024529385,0.010191293202115382,0.010191293202115382,57.49999999999999,11.25
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,0.9550949563160387,0.044905043683961254,0.0074120682328978095,0.0074120682328978095,45.0,13.750000000000002
occ50_dnoise001_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,0.9462600200993325,0.05373997990066747,0.009088772371574546,0.009088772371574544,52.5,21.25
