setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
occ50_s100,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,5.2,0.9797958971132715,3.0,2.449489742783178,0.9997321324909569,2.800754483690992e-06,0.00026786750904296737,2.800754483734773e-06,0.00019232222330973762,5.082853252785958e-06,0.00019232222330973762,5.082853252785958e-06
occ50_s100,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,8.6,1.9595917942265424,4.0,2.0,0.9977743238132151,2.099098130225269e-05,0.0022256761867849905,2.0990981302219347e-05,0.0010715094603254553,2.5668474525019006e-05,0.0010715094603254553,2.5668474525019006e-05
occ50_s100,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,12.4,0.8,5.0,3.1622776601683795,0.9970569300717778,3.8086410861398574e-05,0.002943069928222179,3.80864108613632e-05,0.0012156265000777145,4.068710253229964e-05,0.0012156265000777145,4.068710253229964e-05
occ50_s100,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,59.6,3.9293765408777,10.0,4.47213595499958,0.9935248512085002,0.00011405941020444342,0.006475148791499919,0.00011405941020436844,0.002108862345502807,0.00010337554322663985,0.002108862345502807,0.00010337554322663988
occ50_s100,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,94.0,1.6733200530681511,15.0,4.47213595499958,0.9846300714397642,0.0002890415417364364,0.015369928560235635,0.00028904154173639253,0.0055646791374290485,0.00025788414048160573,0.0055646791374290485,0.00025788414048160573
occ50_s100,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,99.4,0.4898979485566356,13.0,4.0,0.9650672055152819,0.0002832269956598418,0.03493279448471803,0.00028322699565982735,0.009907980961351188,0.00020511896328380015,0.009907980961351188,0.0002051189632837991
occ50_s100,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,97.4,0.4898979485566356,15.0,3.1622776601683795,0.93737907801831,0.0004971491417184546,0.0626209219816901,0.0004971491417184184,0.01710380763198659,0.000328621587761042,0.01710380763198659,0.000328621587761042
occ50_s100,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,98.8,0.7483314773547882,22.0,2.449489742783178,0.9503552974108432,0.00035896745553286747,0.04964470258915671,0.00035896745553285863,0.011405114969681399,0.00032593160326762564,0.011405114969681399,0.0003259316032676257
occ50_s100,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,96.4,0.4898979485566356,30.0,8.366600265340756,0.9555025195575204,0.00031970346434971825,0.04449748044247949,0.00031970346434973695,0.00814473352873229,0.000141088608989616,0.00814473352873229,0.000141088608989616
occ50_s100,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,95.0,0.6324555320336759,37.0,7.483314773547883,0.9488061602510021,0.0001905072274206654,0.051193839748998084,0.000190507227420611,0.009321074481648577,0.0001048176517895584,0.009321074481648577,0.0001048176517895584
