category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,5.0,0.9998739838600159,-7.629245519638061e-05,2.5,0.999778538942337,-0.00014514029026031495,0.21025,0.639,nan,0.14354546635072996,100.0,100.0,1.0000000298023224,1.0000000298023224
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,75.0,0.9334630742669106,0.024605640769004823,45.0,0.9271450988948345,0.008371689915657043,0.721,0.12825,nan,0.10526300797867469,100.0,100.0,1.0000000447034836,1.0000000447034836
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,52.5,0.9601712211966514,0.010261049866676331,11.25,0.9508314467966557,-0.012067802995443345,0.405875,0.44337499999999996,nan,0.28781902255270675,100.0,100.0,1.0000000208616258,1.0000000208616258
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,1.25,0.999856024980545,-9.79885458946228e-05,0.0,0.9997375696897507,-0.00020726025104522705,0.2525,0.65825,nan,0.14354546635072996,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,67.5,0.931506609171629,0.015944661945104598,50.0,0.9427585273981094,0.009107829630374908,0.8405000000000001,0.07025,nan,0.10526300797867469,100.0,100.0,1.000000049173832,1.000000049173832
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,37.5,0.9603618800640106,0.0019674479961395265,2.5,0.9451825603842735,-0.021623533964157105,0.42699999999999994,0.48375,nan,0.28781902255270675,100.0,100.0,1.0000000312924384,1.0000000312924384
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,mean_tokens,layer_0,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,7.5,0.9407726809382438,-0.03104744404554367,3.75,0.948959019780159,-0.02854948043823242,0.25125000000000003,0.5980000000000001,nan,0.1975614120796746,100.0,100.0,1.0000000536441802,1.0000000536441802
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,mean_tokens,layer_11,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,82.5,0.8606636121869087,0.03841563761234283,52.5,0.8623970508575439,0.01793217808008194,0.7474999999999999,0.10175000000000001,nan,0.18776006728537262,100.0,100.0,1.0000000447034836,1.0000000447034836
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,mean_tokens,layer_6,40,80,2.5,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,47.5,0.7479713231325149,0.004220640659332276,23.75,0.8043249174952507,-0.03730191588401795,0.5138750000000001,0.335375,nan,0.4234280207780185,100.0,100.0,1.0000000298023224,1.0000000298023224
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,mean_tokens,layer_0,80,40,1.25,noise_shift_occlusion,noise5_shift2_occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,3.75,0.9369138047099114,-0.039362070709466936,0.0,0.9369371235370636,-0.04482341259717941,0.358,0.55275,nan,0.1975614120796746,100.0,100.0,1.00000002682209,1.00000002682209
