category,split_label,split_seed,split_mode,model_name,pooling,layer,anchor_kind,n_stored,n_probe,chance_accuracy,ident_accuracy_baseline,ident_avg_margin_baseline,gen_accuracy_baseline,gen_avg_margin_baseline,gen_avg_retrieved_human_similarity_baseline,gen_avg_human_similarity_regret_baseline,gen_same_concept_accuracy_baseline,human_rdm_spearman_baseline,exact_accuracy_dam,clean_reextract_accuracy_dam,exact_avg_target_sim_dam,clean_reextract_avg_target_sim_dam,ident_accuracy_dam,ident_avg_target_sim_dam,ident_avg_margin_dam,gen_accuracy_dam,gen_avg_target_sim_dam,gen_avg_margin_dam,gen_avg_retrieved_human_similarity_dam,gen_avg_human_similarity_regret_dam,gen_same_concept_accuracy_dam,probe_rdm_spearman_pre,probe_rdm_spearman_post,probe_rdm_spearman_delta,gen_winners_dam,ident_accuracy_delta,gen_accuracy_delta,gen_avg_margin_delta,gen_avg_human_similarity_regret_delta,qualifying_win,dam_stage,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9991982226428073,0.9991915062121889,100.0,0.9820010808937905,0.39264809619414115,40.0,0.4590727805645125,-0.09949377641989758,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.4393393673772254,0.28188591215681635,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08587892745542317,-0.032500000000000015,False,A,2,0.05,0.05,0.0,1
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9983509321343842,0.9983761662025821,100.0,0.9814278065084661,0.39010351574331825,40.0,0.46094177913906076,-0.09930707287817417,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.44122094535743517,0.2837674901370262,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08569222391369975,-0.032500000000000015,False,A,2,0.05,0.05,0.0,2
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9991934064237755,0.9991866587468431,100.0,0.9819961372419556,0.3926456224020719,40.0,0.45906971045578826,-0.09949405731275154,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.43935250093298506,0.28189904571257607,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08587920834827713,-0.032500000000000015,False,A,2,0.05,0.05,0.05,1
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9983412855245908,0.9983666645006259,100.0,0.9814181375430113,0.39009899639964773,40.0,0.46093628849680013,-0.09930589358111234,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.4412036490465263,0.2837501938261173,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08569104461663793,-0.032500000000000015,False,A,2,0.05,0.05,0.05,2
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9968236797325314,0.9967978758837415,100.0,0.979824090230785,0.3893478967979788,40.0,0.45984817275173356,-0.09974073463317971,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.4408098827760107,0.28335642755560164,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.0861258856687053,-0.032500000000000015,False,A,2,0.05,0.1,0.0,1
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9935515246104352,0.9936432818553325,100.0,0.977130933440403,0.3836557087285061,40.0,0.4627013854695729,-0.09927653788652666,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.44506571156318175,0.28761225634277277,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08566168892205224,-0.032500000000000015,False,A,2,0.05,0.1,0.0,2
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9968045901305708,0.9967786642599552,100.0,0.979804728433533,0.38933909933366595,40.0,0.45983726743097336,-0.0997402022755272,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.44077153228708255,0.28331807706667356,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08612535331105278,-0.032500000000000015,False,A,2,0.05,0.1,0.05,1
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9935137572334757,0.9936060547355297,100.0,0.9770934148504121,0.3836392989877476,40.0,0.4626808638162405,-0.09927274741460766,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.44506173859930076,0.28760828337889177,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08565789845013325,-0.032500000000000015,False,A,2,0.05,0.1,0.05,2
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9994230997260889,0.9994158395191157,100.0,0.9824885696716483,0.3906253936747879,40.0,0.46145958800173775,-0.09971328386396125,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.4406463206610737,0.2831928654406647,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08609843489948683,-0.032500000000000015,False,A,2,0.1,0.05,0.0,1
fruits,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,80,40,1.25,100.0,0.05433581423375879,37.5,-0.013614848964474412,0.683,0.1165,85.0,0.2637852824986545,100.0,100.0,0.9987008654499185,0.9987115836422099,100.0,0.9822814431240369,0.385969031036958,40.0,0.46566743613238754,-0.09982269704130944,0.7154999999999999,0.08399999999999999,87.5,0.15745345522040902,0.4437896816032994,0.28633622638289036,"[1, 3, 58, 6, 12, 10, 12, 15, 16, 19, 20, 23, 25, 68, 29, 31, 33, 34, 36, 39, 37, 42, 45, 47, 48, 50, 53, 55, 57, 59, 60, 62, 64, 67, 69, 70, 6, 74, 76, 79]",0.0,2.5,-0.08620784807683503,-0.032500000000000015,False,A,2,0.1,0.05,0.0,2
