category,model_name,pooling,layer,corruption_mode,occlusion_frac,decision_noise_std,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_splits,n_qualifying_splits,mean_qualifying_fraction,mean_ident_accuracy_baseline,std_ident_accuracy_baseline,mean_ident_accuracy_dam,std_ident_accuracy_dam,mean_ident_accuracy_delta,std_ident_accuracy_delta,mean_gen_accuracy_baseline,std_gen_accuracy_baseline,mean_gen_accuracy_dam,std_gen_accuracy_dam,mean_gen_accuracy_delta,std_gen_accuracy_delta,mean_gen_avg_margin_delta,std_gen_avg_margin_delta,mean_gen_avg_human_similarity_regret_delta,std_gen_avg_human_similarity_regret_delta,mean_probe_rdm_spearman_delta,std_probe_rdm_spearman_delta,mean_cue_recovered_cosine,std_cue_recovered_cosine,mean_cue_displacement,std_cue_displacement,mean_target_pull_gain,std_target_pull_gain
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.0,1,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09258584210358095,0.018413961302917257,-0.013706250000000003,0.01961444381699364,0.1462664533346641,0.03077367280082689,0.9998122324553693,3.2859857330905984e-06,0.0001877675446308212,3.2859857330930692e-06,0.0001748526127418987,8.608025216568668e-05
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.0,2,10,4,0.4,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.375,5.949002017145397,1.5,4.430011286667337,0.09251191782488605,0.018443195696392214,-0.01358125,0.019750846500846492,0.1463437549436767,0.030668693108278897,0.9996245494312472,7.95501522802516e-06,0.00037545056875277073,7.955015228043975e-06,0.00034319536674731657,9.76965757388862e-05
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.0,3,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.375,5.949002017145397,1.5,4.430011286667337,0.09243591186590493,0.018411456130805547,-0.013743750000000004,0.019656209260689103,0.14652651715871262,0.030827419489096616,0.9994360940020115,1.07485817518873e-05,0.0005639059979884368,1.0748581751877522e-05,0.0004851865591144398,0.00012613583550305073
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.0,5,10,4,0.4,89.25,3.020761493398643,93.625,3.2331292890943906,4.375,2.6368778887161235,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09233862322260393,0.018443831385888114,-0.014068750000000001,0.019420253602875533,0.14692464344428516,0.03032758304502697,0.9990602542219585,1.513243474448693e-05,0.0009397457780414891,1.5132434744467792e-05,0.0008918290576658873,0.00026942520929662853
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.0,8,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.125,6.544320056354213,1.2499999999999993,4.293891009329417,0.09217972332640785,0.01844388224929553,-0.014218750000000006,0.01945832887223361,0.14752211149643132,0.030323951734235324,0.9984938256077178,2.7117502922074823e-05,0.0015061743922821194,2.711750292209745e-05,0.0014960166068816608,0.00039162584941391523
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.05,1,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.0925857458916289,0.018413944750636554,-0.013706250000000003,0.01961444381699364,0.14626637047286922,0.030774221592222012,0.9998118462724335,3.290491117485794e-06,0.00018815372756657,3.2904911174719904e-06,0.00017465607480799484,8.613947918539388e-05
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.05,2,10,4,0.4,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.375,5.949002017145397,1.5,4.430011286667337,0.0925117409932136,0.018443191504522248,-0.01358125,0.019750846500846492,0.14634558501373923,0.03066793642084736,0.9996237782520738,7.966818488227108e-06,0.0003762217479259863,7.966818488225732e-06,0.0003427953601045311,9.769217091840398e-05
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.05,3,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.375,5.949002017145397,1.5,4.430011286667337,0.09243565263372147,0.01841140363873137,-0.013743750000000004,0.019656209260689103,0.14652421629736143,0.030826964798740836,0.9994349370581702,1.0765500614695424e-05,0.0005650629418298679,1.076550061464793e-05,0.00048455615780166613,0.00012612119499161016
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.05,5,10,4,0.4,89.25,3.020761493398643,93.625,3.2331292890943906,4.375,2.6368778887161235,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09233825868723217,0.018443769911120504,-0.014068750000000001,0.019420253602875533,0.14692291399418553,0.030325651185926658,0.9990583307591283,1.5155115727882721e-05,0.0009416692408718106,1.5155115727862787e-05,0.0008908659656644641,0.00026943298163326594
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.02,0.05,8,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.125,6.544320056354213,1.2499999999999993,4.293891009329417,0.09217919031420024,0.018443780331883316,-0.014218750000000006,0.01945832887223361,0.14752674961442927,0.030325110448234677,0.9984907555887336,2.716221942021389e-05,0.00150924441126643,2.7162219420163112e-05,0.0014945442285671357,0.0003916126886688798
