category,model_name,pooling,layer,split_label,split_seed,split_mode,n_stored,n_probe,chance_accuracy,corruption_mode,occlusion_frac,decision_noise_std,corruption_label,ident_accuracy_baseline,ident_avg_margin_baseline,gen_accuracy_baseline,gen_avg_margin_baseline,gen_avg_retrieved_human_similarity_baseline,gen_avg_human_similarity_regret_baseline,gen_same_concept_accuracy_baseline,human_rdm_spearman_baseline,exact_accuracy_dam,clean_reextract_accuracy_dam,exact_avg_target_sim_dam,clean_reextract_avg_target_sim_dam,ident_accuracy_dam,ident_avg_target_sim_dam,ident_avg_margin_dam,gen_accuracy_dam,gen_avg_target_sim_dam,gen_avg_margin_dam,gen_avg_retrieved_human_similarity_dam,gen_avg_human_similarity_regret_dam,gen_same_concept_accuracy_dam,probe_rdm_spearman_pre,probe_rdm_spearman_post,probe_rdm_spearman_delta,cue_recovered_cosine_mean,cue_recovered_cosine_std,cue_displacement_mean,target_pull_gain_mean,target_pull_gain_std,gen_winners_dam,ident_accuracy_delta,gen_accuracy_delta,gen_avg_margin_delta,gen_avg_human_similarity_regret_delta,qualifying_hard_ident_win,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9998242855072021,0.9998199835419654,92.5,0.4973428644239902,0.215165701135993,55.00000000000001,0.40153362055425534,0.10175164805841633,0.7665,0.08274999999999999,100.0,0.10383836426826253,0.24087903614675946,0.13704067187849694,0.9998133001423675,1.9711295206313785e-05,0.00018669985763257457,0.00019218222856415341,0.0006268584049465269,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09337997229886241,-0.0030000000000000027,True,2,0.02,0.02,0.0,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9996385589241982,0.9996551379561425,92.5,0.4977072350680828,0.21518198680132627,55.00000000000001,0.40163635013159366,0.10165469490457327,0.764875,0.084375,100.0,0.10383836426826253,0.24011720483956905,0.13627884057130651,0.9996250876974884,3.658076303478868e-05,0.0003749123025115375,0.00029491078478090563,0.0008941068754171292,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09328301914501935,-0.0013749999999999873,True,2,0.02,0.02,0.0,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9994562283158303,0.9994722306728363,92.5,0.4980456821620464,0.21530637722462415,55.00000000000001,0.4017454510263633,0.10160253636422567,0.7665,0.08274999999999999,100.0,0.10383836426826253,0.23933684224652846,0.13549847797826592,0.9994408985953085,5.641056758196002e-05,0.0005591014046915435,0.00040401618126394476,0.0011412629496460008,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09323086060467176,-0.0030000000000000027,True,2,0.02,0.02,0.0,3
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9991141468286514,0.9991255447268486,92.5,0.4986773028969765,0.21568465884774923,55.00000000000001,0.4018838387564756,0.10146555883111433,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.23963724248099416,0.13579887821273162,0.9990590076559694,9.671657253277583e-05,0.0009409923440305057,0.0005424032724120044,0.0013579066691050614,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09309388307156041,-0.007000000000000006,True,2,0.02,0.02,0.0,5
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.998587717115879,0.9985748335719109,92.5,0.4998455636203289,0.21596491876989604,53.75,0.4023597083927598,0.10128536391421221,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.23952478443623954,0.135686420167977,0.9984856724312632,0.0001394584628623625,0.0015143275687369464,0.0010182725060352183,0.001595369810985261,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,1.25,0.0929136881546583,-0.007000000000000006,True,2,0.02,0.02,0.0,8
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9998239323496818,0.999819602072239,92.5,0.49734253659844396,0.21516558676958084,55.00000000000001,0.40153351601329634,0.10175156456534751,0.7665,0.08274999999999999,100.0,0.10383836426826253,0.24087892426032498,0.13704055999206244,0.9998129193930847,1.9747134119126947e-05,0.00018708060691545458,0.00019207388103721108,0.0006274577553678851,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09337988880579359,-0.0030000000000000027,True,2,0.02,0.02,0.05,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.999637795984745,0.9996543899178505,92.5,0.497706763446331,0.21518179308623075,55.00000000000001,0.40163603753899224,0.1016544992395211,0.764875,0.084375,100.0,0.10383836426826253,0.24011683150422136,0.13627846723595882,0.9996243234337122,3.664749065103558e-05,0.0003756765662877165,0.0002946025091968043,0.0008949199465859573,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09328282347996719,-0.0013749999999999873,True,2,0.02,0.02,0.05,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9994550749659539,0.9994711101055145,92.5,0.4980450190603733,0.21530620083212854,55.00000000000001,0.4017449571227189,0.10160226043662987,0.7665,0.08274999999999999,100.0,0.10383836426826253,0.23933377050722304,0.1354954062389605,0.99943975982698,5.6514182859287704e-05,0.0005602401730200768,0.00040351799323028084,0.0011422621185820426,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 27, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09323058467707596,-0.0030000000000000027,True,2,0.02,0.02,0.05,3
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9991122767329216,0.9991236865520478,92.5,0.49867621436715126,0.21568465307354928,55.00000000000001,0.4018828780215699,0.10146507567842492,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.23963486546511087,0.13579650119684833,0.999057093004027,9.689504056358644e-05,0.0009429069959729558,0.0005414400008762762,0.0013589601518874416,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.093093399918871,-0.007000000000000006,True,2,0.02,0.02,0.05,5
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9985847294330596,0.9985718280076981,92.5,0.4998440608382225,0.21596490405499935,53.75,0.4023583125846926,0.10128464191802777,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.23952575430895467,0.13568739004069214,0.9984825989878763,0.0001397181191032126,0.0015174010121236953,0.0010168705864939318,0.0015964994922146889,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,1.25,0.09291296615847386,-0.007000000000000006,True,2,0.02,0.02,0.05,8
