category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,5.0,0.999877980351448,-7.293373346328735e-05,2.5,0.999778538942337,-0.0001451343297958374,0.21025,0.639,nan,0.14354816418179295,100.0,100.0,1.000000038743019,1.000000038743019
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,75.0,0.93538289219141,0.02433773726224899,45.0,0.9271451026201248,0.00837167575955391,0.721,0.12825,nan,0.10526453273126307,100.0,100.0,1.0000000566244125,1.0000000566244125
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,72.5,0.9728539660573006,0.016344943642616273,11.25,0.9508314579725266,-0.012067807465791702,0.405875,0.44337499999999996,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,5.0,0.9998704999685287,-7.512569427490235e-05,1.25,0.9997479610145092,-0.000189150869846344,0.20675,0.60421875,nan,0.14354816418179295,100.0,100.0,1.0000000327825547,1.0000000327825547
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,90.0,0.9378766790032387,0.0251079723238945,42.5,0.9264920629560948,0.005786299705505371,0.65525,0.15571875000000002,nan,0.10526453273126307,100.0,100.0,1.0000000655651093,1.0000000655651093
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,72.5,0.974310103058815,0.01665825992822647,12.5,0.9482699528336525,-0.015070226788520814,0.38725,0.42371875000000003,nan,0.28781926605807334,100.0,100.0,1.0000000506639481,1.0000000506639481
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.5,0.9998653903603554,-8.389204740524291e-05,3.75,0.9997794710099697,-0.0001560702919960022,0.213,0.6185937499999999,nan,0.14354816418179295,100.0,100.0,1.00000002682209,1.00000002682209
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,82.5,0.9299165233969688,0.01575120985507965,42.5,0.9225171402096748,0.0020898841321468353,0.6672499999999999,0.16434374999999998,nan,0.10526453273126307,100.0,100.0,1.0000000685453414,1.0000000685453414
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,75.0,0.9715415731072425,0.01460520625114441,8.75,0.9484756857156753,-0.01593935042619705,0.40750000000000003,0.42409375000000005,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,0.0,0.9998618707060813,-8.160322904586792e-05,2.5,0.999773208796978,-0.00015854686498641967,0.20237500000000005,0.6537499999999999,nan,0.14354816418179295,100.0,100.0,1.0000000417232513,1.0000000417232513
animals,stored_40_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,85.0,0.9306184023618698,0.02515213340520859,47.5,0.9285663045942784,0.0074663512408733364,0.68375,0.172375,nan,0.10526453273126307,100.0,100.0,1.0000000566244125,1.0000000566244125
animals,stored_40_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,82.5,0.973920202255249,0.017369911074638367,6.25,0.9486920304596425,-0.01621391475200653,0.4071249999999999,0.449,nan,0.28781926605807334,100.0,100.0,1.0000000566244125,1.0000000566244125
animals,stored_40_seed_4,4,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,0.0,0.9998466581106186,-9.577572345733642e-05,2.5,0.9997544035315513,-0.00017368122935295104,0.26340624999999995,0.6029687499999999,nan,0.14354816418179295,100.0,100.0,1.0000000506639481,1.0000000506639481
animals,stored_40_seed_4,4,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,80.0,0.9329825907945632,0.02021470367908478,47.5,0.9320300549268723,0.007788906246423722,0.7575,0.10887500000000001,nan,0.10526453273126307,100.0,100.0,1.000000062584877,1.000000062584877
animals,stored_40_seed_4,4,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,57.49999999999999,0.9746712416410446,0.015226911008358001,6.25,0.9488656759262085,-0.015651850402355193,0.39715625,0.4692187499999999,nan,0.28781926605807334,100.0,100.0,1.000000035762787,1.000000035762787
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,1.25,0.9998594559729099,-9.483098983764648e-05,0.0,0.9997375413775444,-0.0002072840929031372,0.2525,0.65825,nan,0.14354816418179295,100.0,100.0,1.0000000342726707,1.0000000342726707
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,70.0,0.9347129374742508,0.01740204617381096,50.0,0.94275853484869,0.009107846021652221,0.8405000000000001,0.07025,nan,0.10526453273126307,100.0,100.0,1.0000000610947608,1.0000000610947608
animals,stored_80_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,66.25,0.9733404599130153,0.014215550571680068,2.5,0.9451825767755508,-0.02162352055311203,0.42699999999999994,0.48375,nan,0.28781926605807334,100.0,100.0,1.0000000417232513,1.0000000417232513
animals,stored_80_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_0,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.5,0.9998695999383926,-8.326321840286255e-05,2.5,0.9997187241911888,-0.0002116471529006958,0.20393749999999997,0.7063125,nan,0.14354816418179295,100.0,100.0,1.000000038743019,1.000000038743019
animals,stored_80_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_11,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,67.5,0.9368475444614888,0.01679061949253082,65.0,0.942026610672474,0.009674730896949767,0.8512500000000001,0.05900000000000001,nan,0.10526453273126307,100.0,100.0,1.000000062584877,1.000000062584877
animals,stored_80_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_6,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,56.25,0.9732794761657715,0.013651430606842041,7.5,0.9443408235907554,-0.021280302107334136,0.4168125,0.49343750000000003,nan,0.28781926605807334,100.0,100.0,1.000000038743019,1.000000038743019
animals,stored_80_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_0,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,2.5,0.9998676978051663,-8.548498153686524e-05,7.5,0.9997546911239624,-0.00018352717161178588,0.20274999999999999,0.69425,nan,0.14354816418179295,100.0,100.0,1.000000035762787,1.000000035762787
animals,stored_80_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_11,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,67.5,0.9346106618642807,0.01617352068424225,60.0,0.9464424878358841,0.013994443416595458,0.7907500000000001,0.10625000000000002,nan,0.10526453273126307,100.0,100.0,1.0000000521540642,1.0000000521540642
animals,stored_80_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_6,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,58.75,0.9729459993541241,0.012910038977861405,7.5,0.9492240935564041,-0.017878332734107973,0.37225,0.52475,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_80_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_0,80,40,1.25,occlusion,occ0.5_dnoise0.01,5.0,2,0.5,0.3,6,0.05,0.01,1.25,0.9998622298240661,-9.510740637779236e-05,0.0,0.9997755631804466,-0.00016431361436843872,0.166,0.76325,nan,0.14354816418179295,100.0,100.0,1.00000002682209,1.00000002682209
